Heading,Import,Export
AGL Business Smart Saver - New to AGL,113.42,
0-24,16.76,1.5
9-21,28.96,1.5
AGL Residential Seniors Saver,88.94,
0-15,17.55,1.0
15-21,29.3,1.0
21-24,17.55,1.0
AGL Residential Smart Saver (Velocity) - New To AGL,95.3,
0-15,18.81,1.5
15-21,31.39,1.5
21-24,18.81,1.5
Origin Energy Origin Business Usage Advantage - Energy Deal (2 Period TOU),124.65,
0-24,16.4,1.0
9-21,28.33,1.0
Origin Energy Origin Business Go Variable - New and Moving Customers (2 Period TOU),113.43,
0-24,16.77,1.0
9-21,28.96,1.0
Origin Energy Origin Business Usage Advantage - Energy Deal (TOU 5 Day),127.56,
0-24,14.12,1.0
7-23,29.64,1.0
EnergyAustralia Business 365 - 5 Day Time of Use,124.65,
0-24,18.43,1.5
9-21,31.83,1.5
EnergyAustralia VIC Seniors Offer - Time of Use,105.89,
0-15,20.9,1.5
15-21,34.88,1.5
21-24,20.9,1.5
Lumo Energy Lumo Plus,88.95,
0-15,17.77,1.0
15-21,29.48,1.0
21-24,17.77,1.0
Lumo Energy Lumo Plus,114.61,
0-24,17.72,1.0
9-21,31.08,1.0
Lumo Energy Victorian Default Offer,124.64,
0-24,18.43,1.0
9-21,31.83,1.0
Alinta Energy HomeDeal Ready - Two Period Time of Use + CL,84.71,
0-15,16.72,0.04
15-21,27.91,0.04
21-24,16.72,0.04
Alinta Energy BusinessDeal Choice - Two Period Time of Use,109.69,
0-9,16.22,0.04
9-21,28.01,0.04
21-24,16.22,0.04
Alinta Energy HomeDeal Extra - Two Period Time of Use + CL,86.83,
0-15,17.14,0.04
15-21,28.6,0.04
21-24,17.14,0.04
Powershop Power House,83.77,
0-15,15.91,0.5
15-21,28.37,0.5
21-24,15.91,0.5
Powershop Power House,88.09,
0-10,16.91,0.5
10-15,16.91,0.5
15-16,16.91,0.5
16-21,28.85,0.5
21-24,16.91,0.5
Powershop Power Offset,123.54,
0-24,23.78,0.5
9-21,31.74,0.5
Dodo Power & Gas Business Standing - Time of Use,124.65,
0-24,18.43,0.04
9-21,31.83,0.04
Dodo Power & Gas Real Deal - Time of Use,92.62,
0-15,20.61,0.04
15-21,34.12,0.04
21-24,20.61,0.04
Dodo Power & Gas Residential Standing - Time of Use,105.89,
0-15,20.9,0.04
15-21,34.88,0.04
21-24,20.9,0.04
Tango Energy Business Select,110.0,
0-24,16.2,0.04
9-21,28.55,0.04
Momentum Energy Pure Business,117.1,
0-24,16.9,1.1
9-21,29.2,1.1
Momentum Energy Warm Welcome,99.5,
0-15,17.6,1.1
15-21,29.3,1.1
21-24,17.6,1.1
Momentum Energy Bill Boss Electricity,117.1,
0-24,17.1,1.1
9-21,29.5,1.1
